Lat,Lon,inches
26.9922,-82.0129,0.01
26.9792,-81.9784,0.01
26.9661,-81.9439,0.01
26.953,-81.9095,0.01
26.9399,-81.8751,0.02
26.9268,-81.8407,0.04
26.9137,-81.8063,0.03
26.9006,-81.772,0.04
26.8874,-81.7376,0.03
26.8742,-81.7033,0.02
26.8611,-81.669,0.02
26.8479,-81.6347,0.02
26.8346,-81.6004,0.01
26.8214,-81.5662,0.01
26.8081,-81.5319,0.01
26.7949,-81.4977,0.01
26.7816,-81.4635,0.01
26.3341,-80.3449,0
26.3203,-80.3113,0
26.3064,-80.2778,0
26.2925,-80.2442,0.01
26.2787,-80.2107,0.01
26.2648,-80.1772,0.01
26.2509,-80.1437,0.03
26.237,-80.1102,0.01
26.223,-80.0767,0
26.2091,-80.0433,0.02
26.1951,-80.0098,0.01
27.1525,-82.344,0
27.1396,-82.3094,0
27.1267,-82.2747,0
27.1138,-82.2401,0.02
27.1009,-82.2055,0.02
27.0879,-82.1709,0.04
27.075,-82.1363,0.05
27.062,-82.1018,0.03
27.049,-82.0672,0.02
27.036,-82.0327,0.02
27.0229,-81.9982,0.01
27.0099,-81.9637,0.01
26.9968,-81.9293,0.01
26.9837,-81.8948,0.01
26.9706,-81.8604,0.01
26.9575,-81.826,0.01
26.9444,-81.7916,0.02
26.9312,-81.7572,0.02
26.918,-81.7228,0.01
26.9049,-81.6885,0.02
26.8917,-81.6542,0.02
26.8784,-81.6199,0.02
26.8652,-81.5856,0.02
26.852,-81.5513,0.01
26.8387,-81.5171,0.01
26.8254,-81.4828,0
26.8121,-81.4486,0.01
26.7988,-81.4144,0.02
26.7855,-81.3802,0.01
26.378,-80.3631,0
26.3642,-80.3295,0
26.3504,-80.2959,0
26.3365,-80.2623,0
26.3226,-80.2287,0
26.3087,-80.1952,0
26.2948,-80.1616,0.01
26.2809,-80.1281,0.02
26.267,-80.0946,0.01
26.253,-80.0612,0.02
26.2391,-80.0277,0.01
26.2251,-79.9943,0
27.2091,-82.3989,0
27.1963,-82.3642,0
27.1834,-82.3295,0
27.1705,-82.2949,0
27.1576,-82.2602,0
27.1446,-82.2256,0
27.1317,-82.1909,0.01
27.1187,-82.1563,0.01
27.1057,-82.1217,0.02
27.0927,-82.0872,0.02
27.0797,-82.0526,0.02
27.0667,-82.0181,0.02
27.0537,-81.9836,0.02
27.0406,-81.9491,0.01
27.0275,-81.9146,0.02
27.0144,-81.8801,0.03
27.0013,-81.8457,0.02
26.9882,-81.8112,0.01
26.975,-81.7768,0.01
26.9619,-81.7424,0
26.9487,-81.7081,0.01
26.9355,-81.6737,0.01
26.9223,-81.6394,0.01
26.909,-81.605,0
26.8958,-81.5707,0.01
26.8825,-81.5364,0.01
26.8693,-81.5022,0.01
26.856,-81.4679,0.01
26.8426,-81.4337,0.02
26.8293,-81.3995,0.02
26.816,-81.3653,0.03
26.8026,-81.3311,0.02
26.7892,-81.2969,0.02
26.3805,-80.2804,0
26.3666,-80.2468,0
26.3388,-80.1797,0.01
26.3249,-80.1461,0
26.311,-80.1126,0.01
26.297,-80.0791,0.01
26.283,-80.0456,0.01
26.2691,-80.0121,0
27.24,-82.3845,0
27.2271,-82.3497,0
27.2142,-82.315,0
27.2013,-82.2803,0
27.1884,-82.2457,0
27.1755,-82.211,0
27.1625,-82.1764,0.01
27.1495,-82.1417,0.01
27.1365,-82.1071,0.02
27.1235,-82.0726,0.02
27.1105,-82.038,0.02
27.0975,-82.0034,0.04
27.0844,-81.9689,0.04
27.0713,-81.9344,0.04
27.0582,-81.8999,0.05
27.0451,-81.8654,0.04
27.032,-81.8309,0.03
27.0188,-81.7965,0.01
27.0057,-81.7621,0.01
26.9925,-81.7277,0.01
26.9793,-81.6933,0.01
26.9661,-81.6589,0
26.8998,-81.4873,0
26.8865,-81.453,0.01
26.8732,-81.4188,0
26.8598,-81.3845,0
26.8465,-81.3503,0.01
26.8331,-81.3161,0.01
26.8197,-81.2819,0.02
26.8063,-81.2478,0.01
26.7929,-81.2136,0.01
26.7795,-81.1795,0
26.4245,-80.2986,0
26.4106,-80.2649,0.01
26.3967,-80.2313,0
26.3689,-80.1641,0
26.341,-80.097,0
26.3131,-80.03,0.01
26.2991,-79.9965,0.01
27.2838,-82.4048,0
27.2709,-82.37,0
27.258,-82.3353,0
27.2451,-82.3005,0.01
27.2322,-82.2658,0
27.2192,-82.2311,0
27.2063,-82.1964,0
27.1933,-82.1618,0
27.1803,-82.1271,0.02
27.1673,-82.0925,0.03
27.1543,-82.0579,0.05
27.1413,-82.0233,0.06
27.1282,-81.9888,0.05
27.1151,-81.9542,0.06
27.102,-81.9197,0.06
27.0889,-81.8852,0.04
27.0758,-81.8507,0.03
27.0627,-81.8162,0.04
27.0495,-81.7817,0.04
27.0364,-81.7473,0.02
27.0232,-81.7128,0.02
27.01,-81.6784,0.01
26.9967,-81.644,0.01
26.9835,-81.6097,0
26.9702,-81.5753,0
26.877,-81.3353,0
26.8502,-81.2669,0.01
26.8368,-81.2327,0.01
26.8234,-81.1986,0.01
26.8099,-81.1644,0
26.4268,-80.2158,0
26.4129,-80.1822,0
26.3711,-80.0814,0
26.3431,-80.0144,0
26.3291,-79.9809,0
27.3018,-82.3555,0
27.2889,-82.3207,0
27.276,-82.286,0
27.263,-82.2513,0
27.2501,-82.2166,0
27.2371,-82.1819,0
27.2241,-82.1472,0.01
27.2111,-82.1125,0.02
27.1981,-82.0779,0.04
27.1851,-82.0433,0.04
27.172,-82.0087,0.04
27.159,-81.9741,0.05
27.1459,-81.9395,0.09
27.1328,-81.905,0.07
27.1197,-81.8704,0.06
27.1065,-81.8359,0.07
27.0934,-81.8014,0.05
27.0802,-81.7669,0.04
27.067,-81.7325,0.03
27.0538,-81.698,0.02
27.0406,-81.6636,0.03
27.0274,-81.6292,0.04
27.0141,-81.5948,0.02
27.0009,-81.5604,0
26.9876,-81.5261,0
26.8807,-81.2519,0
26.8673,-81.2177,0
26.8538,-81.1835,0
26.8404,-81.1493,0.01
26.8269,-81.1152,0.01
26.8134,-81.0811,0
26.4291,-80.133,0
26.4151,-80.0994,0
27.3456,-82.3758,0
27.3327,-82.341,0
27.3198,-82.3062,0
27.3068,-82.2714,0
27.2939,-82.2367,0
27.2809,-82.202,0
27.268,-82.1673,0
27.255,-82.1326,0.01
27.242,-82.0979,0.04
27.2289,-82.0632,0.04
27.2159,-82.0286,0.07
27.2028,-81.994,0.07
27.1897,-81.9594,0.03
27.1766,-81.9248,0.03
27.1635,-81.8902,0.05
27.1504,-81.8557,0.09
27.1373,-81.8211,0.08
27.1241,-81.7866,0.06
27.1109,-81.7521,0.04
27.0977,-81.7176,0.05
27.0845,-81.6832,0.03
27.0713,-81.6487,0.02
27.058,-81.6143,0.03
27.0448,-81.5799,0.01
27.0315,-81.5455,0.01
27.0182,-81.5111,0.01
27.0049,-81.4768,0.01
26.8843,-81.1684,0
26.8709,-81.1342,0
26.8574,-81.1001,0
26.8439,-81.0659,0
26.4032,-79.9831,0
27.3377,-82.2569,0
27.2728,-82.0832,0.03
27.2597,-82.0486,0.09
27.2467,-82.0139,0.09
27.2336,-81.9793,0.09
27.2205,-81.9446,0.07
27.2074,-81.91,0.04
27.1943,-81.8755,0.04
27.1811,-81.8409,0.03
27.168,-81.8063,0.03
27.1548,-81.7718,0.04
27.1416,-81.7373,0.06
27.1284,-81.7028,0.06
27.1152,-81.6683,0.06
27.1019,-81.6339,0.06
27.0887,-81.5994,0.06
27.0754,-81.565,0.05
27.0621,-81.5306,0.04
27.0488,-81.4962,0.01
27.0355,-81.4618,0
26.9954,-81.3588,0
26.9418,-81.2217,0
26.9013,-81.1191,0
26.8878,-81.0849,0
27.3036,-82.0686,0.01
27.2906,-82.0339,0.09
27.2775,-81.9992,0.18
27.2644,-81.9645,0.17
27.2513,-81.9299,0.13
27.2382,-81.8953,0.09
27.225,-81.8607,0.05
27.2119,-81.8261,0.03
27.1987,-81.7915,0.02
27.1855,-81.757,0.02
27.1723,-81.7225,0.02
27.1591,-81.6879,0.02
27.1459,-81.6534,0.02
27.1326,-81.619,0.02
27.1193,-81.5845,0.03
27.1061,-81.5501,0.07
27.0927,-81.5156,0.11
27.0794,-81.4812,0.03
27.0661,-81.4469,0.03
27.0527,-81.4125,0
27.0394,-81.3781,0
27.026,-81.3438,0
26.9857,-81.2409,0
26.9723,-81.2066,0
26.9588,-81.1724,0
27.3214,-82.0192,0.01
27.3083,-81.9845,0.05
27.2952,-81.9498,0.07
27.2821,-81.9152,0.09
27.269,-81.8805,0.12
27.2558,-81.8459,0.12
27.2426,-81.8113,0.07
27.2295,-81.7767,0.03
27.2163,-81.7421,0.02
27.203,-81.7076,0.01
27.1898,-81.6731,0.01
27.1766,-81.6386,0.02
27.1633,-81.6041,0.01
27.15,-81.5696,0.01
27.1367,-81.5351,0.01
27.1234,-81.5007,0.03
27.1101,-81.4663,0.05
27.0967,-81.4319,0.04
27.0833,-81.3975,0.03
27.07,-81.3631,0.01
27.0566,-81.3288,0
27.0431,-81.2944,0.01
27.0297,-81.2601,0
27.0163,-81.2258,0
27.0028,-81.1915,0
27.3522,-82.0044,0
27.3391,-81.9697,0.03
27.326,-81.935,0.04
27.3129,-81.9004,0.04
27.2997,-81.8657,0.03
27.2866,-81.8311,0.04
27.2734,-81.7965,0.05
27.2602,-81.7619,0.1
27.247,-81.7273,0.09
27.2338,-81.6927,0.04
27.2205,-81.6582,0.02
27.2073,-81.6236,0.03
27.194,-81.5891,0.03
27.1807,-81.5546,0.03
27.1674,-81.5202,0.04
27.154,-81.4857,0.06
27.1407,-81.4513,0.03
27.1273,-81.4168,0.01
27.114,-81.3824,0.01
27.1006,-81.3481,0.01
27.0871,-81.3137,0.01
27.0737,-81.2793,0.01
27.0603,-81.245,0.02
27.0468,-81.2107,0.01
27.0333,-81.1764,0.01
27.0198,-81.1421,0
27.0063,-81.1079,0
27.3699,-81.955,0.01
27.3568,-81.9203,0.02
27.3437,-81.8856,0.01
27.3305,-81.8509,0.02
27.3173,-81.8163,0.04
27.3042,-81.7816,0.04
27.291,-81.747,0.05
27.2777,-81.7124,0.07
27.2645,-81.6778,0.05
27.2512,-81.6433,0.07
27.238,-81.6087,0.07
27.2247,-81.5742,0.06
27.2114,-81.5397,0.06
27.198,-81.5052,0.09
27.1847,-81.4707,0.08
27.1713,-81.4363,0.1
27.158,-81.4018,0.05
27.1446,-81.3674,0.04
27.1312,-81.333,0.01
27.1177,-81.2986,0.01
27.1043,-81.2642,0.01
27.0908,-81.2299,0
27.0774,-81.1956,0.01
27.0639,-81.1613,0.02
27.0504,-81.127,0
27.0369,-81.0927,0.01
27.3876,-81.9055,0.01
27.3745,-81.8708,0.02
27.3613,-81.8361,0.03
27.3481,-81.8014,0.02
27.3349,-81.7668,0.03
27.3217,-81.7321,0.01
27.3085,-81.6975,0.02
27.2952,-81.6629,0.03
